Employee ID          Name                 Salary               Country                             Passcode            	
16790604-2358        KyleHolcomb          "$58,057.00"         Argentina                           LIT00HBL3DU         	
16800122-2739        TamekahShannon       "$54,921.00"         WallisandFutuna                     SSK17IRB7FK         	
16841014-8251        MoanaNash            "$65,347.00"         Curaçao                             ZHH04FOR8ZA         	
16850223-8804        PriceMelendez        "$48,145.00"         Colombia                            VYU71NWM5LT         	
16860827-5163        JamesDuncan          "$2,170.00"          Greece                              IAV06JEU9KN         	
16861207-8744        GeorgiaChandler      "$95,817.00"         UnitedArabEmirates                  DXF27TDK3QY         	
16870428-2006        DakotaPage           "$72,387.00"         Lebanon                             HLR29ONO5BA         	
16870817-6782        NathanielMorrow      "$19,681.00"         Eritrea                             KNN72CNW0ZX         	
16900425-1949        DorisZimmerman       "$72,343.00"         Slovakia                            IMO18NNH4CO         	
16900709-5269        BrettGibson          "$65,492.00"         Palau                               GCQ58GRR0TB         	
16901026-9257        LynnElliott          "$9,999.00"          Sweden                              SVW78XAP3OV         	
16920428-0698        AbbotNolan           "$35,838.00"         Qatar                               YDW02EBS1DS         	
16921013-8617        SybilMalone          "$44,655.00"         Spain                               BMW02NVJ1LA         	
16940530-7811        SethHebert           "$45,890.00"         Armenia                             PIO29UNL2DI         	
16950418-3030        ShadCase             "$78,585.00"         China                               VUB47HWR5EN         	
16951024-7068        KylaPhillips         "$83,878.00"         VietNam                             SJR16HPT8EK         	
16970123-5252        AstraWhitney         "$75,228.00"         CentralAfricanRepublic              SHP02CIP2VR         	
16970719-4214        MeredithTerry        "$96,880.00"         Syria                               RXN01JXU2WC         	
16980624-1155        EzekielKaufman       "$57,782.00"         Tajikistan                          LCK04CXF2YJ         	
